ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,도봉구,4.2,78.0,14.0,15.0
2024-01-01,도봉구,4.5,77.0,12.0,13.0
2024-01-01,도봉구,2.7,85.0,9.0,9.0
2024-01-01,도봉구,2.2,87.0,10.0,11.0
2024-01-01,도봉구,3.1,81.0,13.0,14.0
2024-01-01,도봉구,2.9,83.0,6.0,7.0
2024-01-01,도봉구,2.5,87.0,17.0,18.0
2024-01-01,도봉구,3.1,82.0,6.0,7.0
2024-01-01,도봉구,2.5,84.0,2.0,3.0
2024-01-01,도봉구,3.6,79.0,21.0,23.0
2024-01-01,도봉구,3.5,81.0,1.0,2.0
2024-01-01,도봉구,4.1,79.0,1.0,2.0
2024-01-01,도봉구,2.6,85.0,10.0,11.0
2024-01-01,도봉구,2.5,84.0,1.0,2.0
2024-01-01,도봉구,3.6,80.0,19.0,21.0
2024-01-01,도봉구,3.0,82.0,6.0,7.0
2024-01-01,도봉구,2.6,88.0,16.0,17.0
2024-01-01,도봉구,2.2,89.0,17.0,18.0
2024-01-01,도봉구,4.7,76.0,10.0,11.0
2024-01-01,도봉구,3.3,84.0,15.0,16.0
2024-01-01,도봉구,5.4,74.0,6.0,7.0
2024-01-01,도봉구,3.9,79.0,15.0,16.0
2024-01-01,도봉구,2.9,85.0,1.0,2.0
2024-01-01,도봉구,4.9,100.0,39.0,42.0
2024-01-01,도봉구,4.6,100.0,20.0,22.0
2024-01-01,도봉구,5.4,100.0,25.0,27.0
2024-01-01,도봉구,3.9,100.0,1.0,2.0
2024-01-01,도봉구,-40.0,61.0,1.0,2.0
2024-01-01,도봉구,5.8,86.0,17.0,18.0
2024-01-01,도봉구,4.2,100.0,13.0,14.0
2024-01-01,도봉구,-0.1,100.0,24.0,26.0
2024-01-01,도봉구,5.0,76.0,18.0,19.0
2024-01-01,도봉구,-40.0,91.0,15.0,16.0
2024-01-01,도봉구,4.9,81.0,11.0,12.0
2024-01-01,도봉구,4.5,74.0,22.0,24.0
2024-01-01,도봉구,-3.3,100.0,24.0,26.0
2024-01-01,도봉구,4.9,75.0,17.0,18.0
2024-01-01,도봉구,3.9,79.0,20.0,22.0
2024-01-01,도봉구,3.4,100.0,15.0,16.0
2024-01-01,도봉구,4.5,100.0,11.0,12.0
2024-01-01,도봉구,4.8,77.0,10.0,11.0
2024-01-01,도봉구,4.8,76.0,5.0,6.0
2024-01-01,도봉구,8.2,63.0,4.0,5.0
2024-01-01,도봉구,3.9,81.0,10.0,10.0
2024-01-01,도봉구,4.9,74.0,7.0,8.0
2024-01-01,도봉구,4.3,79.0,15.0,16.0
2024-01-01,도봉구,4.8,77.0,1.0,2.0
2024-01-01,도봉구,4.8,74.0,11.0,12.0
2024-01-01,도봉구,6.0,70.0,11.0,12.0
2024-01-01,도봉구,4.8,79.0,10.0,11.0
2024-01-01,도봉구,4.7,74.0,19.0,21.0
2024-01-01,도봉구,6.1,71.0,14.0,15.0
2024-01-01,도봉구,7.3,67.0,1.0,2.0
2024-01-01,도봉구,4.4,77.0,1.0,2.0
2024-01-01,도봉구,4.5,83.0,19.0,21.0
2024-01-01,도봉구,6.4,73.0,1.0,2.0
2024-01-01,도봉구,5.3,80.0,18.0,19.0
2024-01-01,도봉구,4.6,79.0,13.0,14.0
2024-01-01,도봉구,8.0,64.0,8.0,9.0
2024-01-01,도봉구,5.8,71.0,5.0,6.0
2024-01-01,도봉구,4.7,75.0,5.0,6.0
2024-01-01,도봉구,4.3,79.0,1.0,2.0
2024-01-01,도봉구,5.0,75.0,24.0,26.0
2024-01-01,도봉구,-40.0,75.0,11.0,12.0
2024-01-01,도봉구,2.0,100.0,18.0,19.0
