날짜,도로명,평균속도예측
2023-06-01,강변북로,54.632598207571434
2023-07-01,강변북로,54.846706318193654
2023-08-01,강변북로,55.06795136636608
2023-09-01,강변북로,55.28919641611557
2023-10-01,강변북로,55.503304530707425
2023-11-01,강변북로,55.72454958312041
2023-12-01,강변북로,55.93865769852998
2024-01-01,강변북로,56.15990275250569
2024-02-01,강변북로,56.38114780729316
2024-03-01,강변북로,56.588118986696806
2024-04-01,강변북로,56.809364040542086
2024-04-30,강변북로,57.01633521994573
2024-05-31,강변북로,57.23758027379101
2024-06-30,강변북로,57.45168839041547
2024-07-31,강변북로,57.67293344426075
2024-08-31,강변북로,57.89417849810603
2024-09-30,강변북로,58.10828661473049
2023-06-01,강변역로,19.009738178000003
2023-07-01,강변역로,19.011125431597904
2023-08-01,강변역로,19.012397519021125
2023-09-01,강변역로,19.013669125707324
2023-10-01,강변역로,18.949999206823005
2023-11-01,강변역로,18.80074261969543
2023-12-01,강변역로,18.656300673650847
2024-01-01,강변역로,18.507045116770357
2024-02-01,강변역로,18.532895381474788
2024-03-01,강변역로,18.557077887166024
2024-04-01,강변역로,18.582928151870455
2024-04-30,강변역로,18.607110657561694
2024-05-31,강변역로,18.632960922266125
2024-06-30,강변역로,18.65797730746396
2024-07-31,강변역로,18.68382757216839
2024-08-31,강변역로,18.709677836872817
2024-09-30,강변역로,18.734694222070654
2023-06-01,강변역로4길,15.467135832000004
2023-07-01,강변역로4길,15.490795908363937
2023-08-01,강변역로4길,15.515244653501098
2023-09-01,강변역로4길,15.539693400950167
2023-10-01,강변역로4길,15.563353472310418
2023-11-01,강변역로4길,15.587802195865185
2023-12-01,강변역로4길,15.61146225705395
2024-01-01,강변역로4길,15.635910995538659
2024-02-01,강변역로4길,15.660359729733083
2024-03-01,강변역로4길,15.683231126237542
2024-04-01,강변역로4길,15.707679860431966
2024-04-30,강변역로4길,15.730551256936428
2024-05-31,강변역로4길,15.754999991130852
2024-06-30,강변역로4길,15.778660056480295
2024-07-31,강변역로4길,15.803108790674719
2024-08-31,강변역로4길,15.827557524869142
2024-09-30,강변역로4길,15.851217590218583
2023-06-01,강서로,19.10405302909091
2023-07-01,강서로,19.143068004450278
2023-08-01,강서로,19.183383479145256
2023-09-01,강서로,19.223698953712347
2023-10-01,강서로,19.262713928928214
2023-11-01,강서로,19.30302940326378
2023-12-01,강서로,19.34204437827025
2024-01-01,강서로,19.382359852631378
2024-02-01,강서로,19.42267532720022
2024-03-01,강서로,19.460389803416206
2024-04-01,강서로,19.500705277991916
2024-04-30,강서로,19.538419754207904
2024-05-31,강서로,19.57873522878361
2024-06-30,강서로,19.61775020417946
2024-07-31,강서로,19.658065678755168
2024-08-31,강서로,19.698381153330878
2024-09-30,강서로,19.737396128726726
2023-06-01,강서로17길,16.437127952
2023-07-01,강서로17길,16.46525465961967
2023-08-01,강서로17길,16.494318942261994
2023-09-01,강서로17길,16.52338325364955
2023-10-01,강서로17길,16.551509999341516
2023-11-01,강서로17길,16.580574313783135
2023-12-01,강서로17길,16.609113160794184
2024-01-01,강서로17길,16.67381495725773
2024-02-01,강서로17길,16.738516749090945
2024-03-01,강서로17길,16.799044231773625
2024-04-01,강서로17길,16.863746023606836
2024-04-30,강서로17길,16.92427350628952
2024-05-31,강서로17길,16.988975298122728
2024-06-30,강서로17길,17.05158993538068
2024-07-31,강서로17길,17.116291727213888
2024-08-31,강서로17길,17.1809935190471
2024-09-30,강서로17길,17.243608156305047
2023-06-01,강서로29길,15.126538590000001
2023-07-01,강서로29길,15.183814518590165
2023-08-01,강서로29길,15.2429996440169
2023-09-01,강서로29길,15.229404455309208
2023-10-01,강서로29길,15.206533123256284
2023-11-01,강서로29길,15.181390884608625
2023-12-01,강서로29길,15.157059686086464
2024-01-01,강서로29길,15.131917447365952
2024-02-01,강서로29길,15.10646890748006
2024-03-01,강서로29길,15.082662208877132
2024-04-01,강서로29길,15.057213668991242
2024-04-30,강서로29길,15.033406970388313
2024-05-31,강서로29길,15.007958430502422
2024-06-30,강서로29길,14.98333081125801
2024-07-31,강서로29길,14.957882271372123
2024-08-31,강서로29길,14.932433731486231
2024-09-30,강서로29길,14.90780611224182
2023-06-01,개봉로,20.713444448
2023-07-01,개봉로,20.933516874377048
2023-08-01,개봉로,21.16092504747066
2023-09-01,개봉로,21.388333222774207
2023-10-01,개봉로,21.60840565184591
2023-11-01,개봉로,21.835813867607527
2023-12-01,개봉로,22.056789738300463
2024-01-01,개봉로,22.28650540592196
2024-02-01,개봉로,22.516391481866805
2024-03-01,개봉로,22.731446198073268
2024-04-01,개봉로,22.961332274018112
2024-04-30,개봉로,23.17638699022458
2024-05-31,개봉로,23.406273066169422
2024-06-30,개봉로,23.62874346224508
2024-07-31,개봉로,23.85862953818992
2024-08-31,개봉로,24.088515614134767
2024-09-30,개봉로,24.31098601021042
2023-06-01,개포로,21.019384959375
2023-07-01,개포로,20.77626595619877
2023-08-01,개포로,20.52504299682047
2023-09-01,개포로,20.39296199390119
2023-10-01,개포로,20.415691441179863
2023-11-01,개포로,20.43917854161512
2023-12-01,개포로,20.46324506007937
2024-01-01,개포로,20.488722829320068
2024-02-01,개포로,20.514200611804768
2024-03-01,개포로,20.538034666387226
2024-04-01,개포로,20.563512448871922
2024-04-30,개포로,20.587346503454384
2024-05-31,개포로,20.61282428593908
2024-06-30,개포로,20.63748020447266
2024-07-31,개포로,20.662957986957355
2024-08-31,개포로,20.688435769442055
2024-09-30,개포로,20.713091687975634
2023-06-01,개화동로,36.966461408
2023-07-01,개화동로,37.09978139241967
2023-08-01,개화동로,37.237545379443944
2023-09-01,개화동로,37.375309369689084
2023-10-01,개화동로,37.50936634045191
2023-11-01,개화동로,37.649252605856766
2023-12-01,개화동로,37.785385990550616
2024-01-01,개화동로,37.926057155619915
2024-02-01,개화동로,38.06672831376597
2024-03-01,개화동로,38.19832391332196
2024-04-01,개화동로,38.338995071468005
2024-04-30,개화동로,38.47059067102399
2024-05-31,개화동로,38.61126182917004
2024-06-30,개화동로,38.74739520802106
2024-07-31,개화동로,38.88806636616711
2024-08-31,개화동로,39.028737524313165
2024-09-30,개화동로,39.164870903164186
2023-06-01,거마로,19.198999817
2023-07-01,거마로,19.08678038478033
2023-08-01,거마로,18.971124091012094
2023-09-01,거마로,19.0654175750832
2023-10-01,거마로,19.156836365338933
2023-11-01,거마로,19.25130245416255
2023-12-01,거마로,19.34272130884096
2024-01-01,거마로,19.4384302168588
2024-02-01,거마로,19.57999186849254
2024-03-01,거마로,19.712420510343463
2024-04-01,거마로,19.853982161977207
2024-04-30,거마로,19.98641080382813
2024-05-31,거마로,20.127972455461872
2024-06-30,거마로,20.2649676022042
2024-07-31,거마로,20.406529253837945
2024-08-31,거마로,20.548090905471682
2024-09-30,거마로,20.685086052214018
2023-06-01,거북골로,14.769944956
2023-07-01,거북골로,14.71935122217705
2023-08-01,거북골로,14.667071077301637
2023-09-01,거북골로,14.614790957982004
2023-10-01,거북골로,14.564901947865867
2023-11-01,거북골로,14.513350022517816
2023-12-01,거북골로,14.582180438752752
2024-01-01,거북골로,14.65330723074298
2024-02-01,거북골로,14.621248880038127
2024-03-01,거북골로,14.591258810023907
2024-04-01,거북골로,14.559200459319053
2024-04-30,거북골로,14.529210389304835
2024-05-31,거북골로,14.49715203859998
2024-06-30,거북골로,14.466127828240445
2024-07-31,거북골로,14.43406947753559
2024-08-31,거북골로,14.402011126830736
2024-09-30,거북골로,14.3709869164712
2023-06-01,겸재로,21.35053908
2023-07-01,겸재로,21.293850555990147
2023-08-01,겸재로,21.235272416718615
2023-09-01,겸재로,21.176694282724625
2023-10-01,겸재로,21.120005766852604
2023-11-01,겸재로,21.061427641139947
2023-12-01,겸재로,21.004739138980664
2024-01-01,겸재로,20.94616101529542
2024-02-01,겸재로,20.88758289491531
2024-03-01,겸재로,20.83278400930249
2024-04-01,겸재로,20.774205890199124
2024-04-30,겸재로,20.7194070045863
2024-05-31,겸재로,20.66082888548294
2024-06-30,겸재로,20.604140383124847
2024-07-31,겸재로,20.545562264021484
2024-08-31,겸재로,20.486984144918118
2024-09-30,겸재로,20.430295642560026
2023-06-01,경부고속도로,44.14921043184615
2023-07-01,경부고속도로,44.44889983689483
2023-08-01,경부고속도로,44.758578888094874
2023-09-01,경부고속도로,45.0682579394177
2023-10-01,경부고속도로,45.36813413042836
2023-11-01,경부고속도로,45.678006193770365
2023-12-01,경부고속도로,45.97788238777835
2024-01-01,경부고속도로,46.287754453264796
2024-02-01,경부고속도로,46.597626518074954
2024-03-01,경부고속도로,46.887506836768324
2024-04-01,경부고속도로,47.19737890157848
2024-04-30,경부고속도로,47.48725922027186
2024-05-31,경부고속도로,47.79713128508202
2024-06-30,경부고속도로,48.09700747683379
2024-07-31,경부고속도로,48.406879541643946
2024-08-31,경부고속도로,48.7167516064541
2024-09-30,경부고속도로,49.01662779820587
2023-06-01,경인고속도로,48.826600656000004
2023-07-01,경인고속도로,48.78234365223344
2023-08-01,경인고속도로,48.736611413610156
2023-09-01,경인고속도로,48.690879173407865
2023-10-01,경인고속도로,48.6466221677722
2023-11-01,경인고속도로,48.600889925587104
2023-12-01,경인고속도로,48.556632916226924
2024-01-01,경인고속도로,48.51090067242218
2024-02-01,경인고속도로,48.46516842745364
2024-03-01,경인고속도로,48.42238664990242
2024-04-01,경인고속도로,48.37665440493388
2024-04-30,경인고속도로,48.33387262738266
2024-05-31,경인고속도로,48.28814038241412
2024-06-30,경인고속도로,48.24388337115424
2024-07-31,경인고속도로,48.1981511261857
2024-08-31,경인고속도로,48.15241888121716
2024-09-30,경인고속도로,48.10816186995728
2023-06-01,경인로,23.214286543
2023-07-01,경인로,23.24181627122826
2023-08-01,경인로,23.27026365723089
2023-09-01,경인로,23.298711043389144
2023-10-01,경인로,23.326240772354566
2023-11-01,경인로,23.354688158801153
2023-12-01,경인로,23.38221788779527
2024-01-01,경인로,23.41066527428702
2024-02-01,경인로,23.439112661183568
2024-03-01,경인로,23.465724732754904
2024-04-01,경인로,23.494172119607022
2024-04-30,경인로,23.520784191178358
2024-05-31,경인로,23.549231578030472
2024-06-30,경인로,23.5767613072422
2024-07-31,경인로,23.60520869409432
2024-08-31,경인로,23.633656080946434
2024-09-30,경인로,23.661185810158162
2023-06-01,경춘북로,27.42536931
2023-07-01,경춘북로,27.49421992052459
2023-08-01,경춘북로,27.565365549482333
2023-09-01,경춘북로,27.63651118158726
2023-10-01,경춘북로,27.70536208310849
2023-11-01,경춘북로,27.77656786819042
2023-12-01,경춘북로,27.84547681450345
2024-01-01,경춘북로,27.916682730293576
2024-02-01,경춘북로,27.987888648288337
2024-03-01,경춘북로,28.054500636089887
2024-04-01,경춘북로,28.125706554084644
2024-04-30,경춘북로,28.192318541886195
2024-05-31,경춘북로,28.263524459880955
2024-06-30,경춘북로,28.33243341277911
2024-07-31,경춘북로,28.403639330773867
2024-08-31,경춘북로,28.474845248768627
2024-09-30,경춘북로,28.543754201666783
2023-06-01,고덕로,24.17686161775
2023-07-01,고덕로,24.186181702466968
2023-08-01,고덕로,24.195951349053313
2023-09-01,고덕로,24.20746024970885
2023-10-01,고덕로,24.28162799434961
2023-11-01,고덕로,24.35799509838164
2023-12-01,고덕로,24.431898736924342
2024-01-01,고덕로,24.45716697358149
2024-02-01,고덕로,24.44380837852134
2024-03-01,고덕로,24.431311628303785
2024-04-01,고덕로,24.417953033243634
2024-04-30,고덕로,24.405456283026076
2024-05-31,고덕로,24.39209768796593
2024-06-30,고덕로,24.379170015327077
2024-07-31,고덕로,24.365811420266926
2024-08-31,고덕로,24.35245282520678
2024-09-30,고덕로,24.339525152567923
2023-06-01,고덕로55길,24.3604299015
2023-07-01,고덕로55길,24.384406612126725
2023-08-01,고덕로55길,24.408923104103625
2023-09-01,고덕로55길,24.43341318725754
2023-10-01,고덕로55길,24.46063127416301
2023-11-01,고덕로55길,24.488756627410446
2023-12-01,고덕로55길,24.515974712855872
2024-01-01,고덕로55길,24.544100070232762
2024-02-01,고덕로55길,24.463357514710637
2024-03-01,고덕로55길,24.38782415631897
2024-04-01,고덕로55길,24.30708160079684
2024-04-30,고덕로55길,24.231548242405175
2024-05-31,고덕로55길,24.15080568688305
2024-06-30,고덕로55길,24.072667729926152
2024-07-31,고덕로55길,23.991925174404027
2024-08-31,고덕로55길,23.9111826188819
2024-09-30,고덕로55길,23.833044661925
2023-06-01,고덕로61길,17.415959366666666
2023-07-01,고덕로61길,17.36748757453552
2023-08-01,고덕로61길,17.317400052792674
2023-09-01,고덕로61길,17.267312538922116
2023-10-01,고덕로61길,17.218840749726617
2023-11-01,고덕로61길,17.16860499304339
2023-12-01,고덕로61길,17.12001886467248
2024-01-01,고덕로61길,17.229862487836748
2024-02-01,고덕로61길,17.339706115707106
2024-03-01,고덕로61길,17.442463057908405
2024-04-01,고덕로61길,17.552306685778767
2024-04-30,고덕로61길,17.655063627980066
2024-05-31,고덕로61길,17.764907255850424
2024-06-30,고덕로61길,17.871207540886253
2024-07-31,고덕로61길,17.981051168756608
2024-08-31,고덕로61길,18.090894796626962
2024-09-30,고덕로61길,18.19719508166279
2023-06-01,고덕로62길,15.477941193
2023-07-01,고덕로62길,15.415678807327868
2023-08-01,고덕로62길,15.351396333325942
