측정일,지역,지역 상세,도로명,평균 농도
2022-10-25,인천,서구,드림로,220
2022-10-24,경기,부천시,오정로,565
2022-10-21,경기,안성시,남파로,237
2022-10-19,경기,안산시 단원구,원선로,310
2022-10-19,경기,파주시,헤이리로,504
2022-10-18,서울,금천구,시흥대로,809
2022-10-18,경기,파주시,청석로,568
2022-10-18,경기,파주시,숲속노을로,348
2022-10-17,인천,서구,고산후로,212
2022-10-17,인천,서구,도담로,801
2022-10-17,인천,서구,보듬로,240
2022-10-17,서울,동대문구,이문로,365
2022-10-17,인천,서구,북항로207번길,389
2022-10-17,인천,서구,북항로177번길,214
2022-10-14,인천,서구,석남로,301
2022-10-13,경기,의왕시,시청로,247
2022-10-13,경기,용인시 기흥구,흥덕1로,260
2022-10-13,경기,고양시 일산동구,월드고양로,282
2022-10-13,경기,의왕시,복지로,234
2022-10-13,경기,시흥시,관곡지로,283
2022-10-12,경기,시흥시,월곶중앙로14번길,250
2022-10-07,경기,과천시,과천대로,291
2022-10-07,경기,과천시,교육원로,287
2022-01-04,경기,이천시,구만리로,768
2022-01-04,경기,이천시,이섭대천로,217
2022-01-04,경기,이천시,증신로,314
2022-01-14,경기,김포시,중구로,324
2022-01-14,경기,김포시,중구로,324
2022-01-18,충남,아산시,온천대로,313
2022-01-18,경기,오산시,경기대로,269
2022-01-18,충남,예산군,아리랑로,381
2022-01-18,경기,수원시 영통구,영통로,631
2022-01-21,경기,시흥시,시화벤처로,402
2022-01-21,경기,양주시,고읍남로,401
2022-01-21,경기,시흥시,계수로,234
2022-01-21,경기,의정부시,천보로,211
2022-01-26,경기,광주시,경안로,246
2022-01-26,경기,광주시,광여로,598
2022-01-27,경기,포천시,태봉로,284
2022-01-27,경기,포천시,중앙로,582
2022-01-27,경기,동두천시,상패로,313
2022-01-27,경기,동두천시,삼육사로,222
2022-01-27,경기,동두천시,이담로,525
2022-02-03,충북,음성군,원중로,405
2022-02-03,충북,충주시,계명대로,266
2022-02-04,충북,제천시,의림대로,1177
2022-02-04,충북,단양군,여천덕천로,5031
2022-02-09,경기,고양시 덕양구,은빛로,214
2022-02-09,서울,마포구,연남로,213
2022-02-09,경기,김포시,중구로,308
2022-02-09,인천,강화군,강화대로,451
2022-02-10,경기,이천시,구만리로,220
2022-02-10,경기,안성시,장기로,263
2022-02-11,경기,파주시,방촌로,395
2022-02-11,경기,파주시,개포래로,205
2022-02-11,경기,파주시,문산역로,429
2022-02-11,경기,파주시,평화로,305
2022-02-15,경기,구리시,건원대로,234
2022-02-15,경기,구리시,검배로,232
2022-02-15,경기,구리시,벌말로,208
2022-02-15,경기,남양주시,늘을3로,445
2022-02-15,경기,의정부시,경의로,318
2022-02-16,서울,강서구,마곡중앙로,384
2022-02-17,충남,홍성군,충남대로,323
2022-02-18,충남,태안군,후곡로,445
2022-02-18,충남,태안군,중앙로,213
2022-02-21,충북,단양군,여천덕천로,289
2022-02-21,충북,충주시,계명대로,464
2022-02-22,충북,제천시,의림대로,2008
2022-02-22,충북,음성군,원중로,583
2022-02-23,충남,아산시,용연로,619
2022-02-23,충남,아산시,새아산로,615
2022-02-23,충남,아산시,연화로,349
2022-02-23,충남,아산시,온천대로,290
2022-02-23,충남,아산시,문화로,220
2022-03-02,경기,화성시,여울로,303
2022-03-02,경기,화성시,동화길,323
2022-03-02,경기,화성시,최루백로,303
2022-03-07,서울,강서구,양천로,204
2022-03-07,경기,포천시,태봉로,300
2022-03-07,경기,포천시,중앙로,253
2022-03-07,경기,김포시,김포대로,249
2022-03-07,경기,김포시,중구로,968
2022-03-07,경기,동두천시,상패로,587
2022-03-07,경기,동두천시,삼육사로,226
2022-03-07,경기,안양시 동안구,경수대로,236
2022-03-07,경기,동두천시,이담로,305
2022-03-07,경기,수원시 영통구,영통로,222
2022-03-07,경기,김포시,사우중로,591
2022-03-07,경기,김포시,돌문로,1286
2022-03-07,경기,양주시,고읍남로,451
2022-03-07,인천,강화군,강화대로,420
2022-03-08,경기,부천시,오정로,572
2022-03-08,서울,강동구,올림픽로,249
2022-03-08,경기,군포시,호수로,205
2022-03-08,경기,남양주시,늘을3로,212
2022-03-08,경기,광명시,광명로,293
2022-03-08,경기,광주시,포돌이로,387
2022-03-10,경기,용인시 처인구,금령로,219
2022-03-10,경기,과천시,별양로,266
2022-03-10,경기,과천시,중앙로,356
2022-03-10,인천,동구,제물량로,294
2022-03-11,인천,연수구,능허대로,207
2022-03-11,경기,고양시 덕양구,은빛로,901
2022-03-15,인천,연수구,능허대로,338
2022-03-15,서울,강남구,도산대로,220
2022-03-15,대전,유성구,원신흥로,310
2022-03-15,인천,서구,봉수대로,222
2022-03-16,경기,김포시,중구로,382
2022-03-16,경기,김포시,돌문로,402
2022-03-16,경기,김포시,사우중로,336
