지역명,도로명,차선,도로등급,도로유형,최고속도,링크연장,업데이트
강서구,금낭화로,2,104,0,30,77.455845329062,20230519
도봉구,마들로14길,1,104,0,30,259.259536010844,20230519
용산구,동작대로,1,104,0,40,337.067473663584,20230519
용산구,이촌로71길,1,104,0,30,144.690100793635,20230519
동작구,노들로,2,104,0,50,87.725355610628,20230519
영등포구,63로,2,104,0,50,603.669562164915,20230519
영등포구,영중로,3,104,0,50,188.74737396632,20230519
성북구,내부순환도로,1,102,0,40,565.397363815449,20230519
도봉구,방학로15길,1,104,0,30,186.454448466406,20230519
노원구,공릉로,1,104,0,30,94.303641327965,20230519
성동구,난계로,1,104,0,40,201.228659193292,20230519
용산구,강변북로,4,102,0,80,610.628340156909,20230519
용산구,회나무로,1,104,0,30,951.11914863101,20230519
용산구,소월로38길,1,104,0,30,243.390118348184,20230519
용산구,두텁바위로,2,104,0,50,580.275988186306,20230519
송파구,연화로,3,104,0,30,263.133964053118,20230519
송파구,송파대로,2,103,0,50,72.976659727237,20230519
강남구,밤고개로23길,1,104,0,30,231.373749223384,20230519
강서구,등촌로,3,104,0,50,406.932005671859,20230519
중구,을지로39길,2,104,0,30,376.60404670258,20230519
광진구,강변북로,4,102,0,80,108.526512620476,20230519
성동구,동부간선도로,3,102,0,80,2553.01922849238,20230519
강남구,삼전로,3,104,3,50,267.87066155088,20230519
강남구,삼성로,3,104,0,60,203.23841184693,20230519
서초구,서초대로65길,1,104,0,30,66.644708340089,20230519
종로구,청계천로,2,104,0,30,166.299572214917,20230519
양천구,목동서로,2,104,0,30,41.765589294381,20230519
성북구,월곡로10길,1,107,0,30,680.550731512251,20230519
도봉구,해등로,2,104,0,40,672.118723560793,20230519
도봉구,덕릉로63가길,1,104,0,30,653.084143867595,20230519
동대문구,이문로54길,1,104,0,30,115.971789320493,20230519
중랑구,망우로,3,103,0,50,151.8526594242,20230519
은평구,연서로,3,103,0,50,233.305402955643,20230519
송파구,삼전로,3,104,0,50,430.864207287063,20230519
구로구,신도림로,3,104,0,30,190.773330133026,20230519
강서구,수명로2가길,1,104,0,50,59.564659449569,20230519
강남구,도곡로3길,1,104,0,30,61.408125103536,20230519
중구,수표로,1,104,0,30,196.599870911746,20230519
강동구,양재대로89길,1,104,0,30,131.667191429835,20230519
송파구,강동대로,5,107,0,50,359.372449177036,20230519
금천구,디지털로,2,104,0,50,12.692392968337,20230519
구로구,경인로59길,1,104,0,30,76.387928979022,20230519
강서구,마곡동로,2,104,0,60,280.938919726452,20230519
구로구,경서로,2,104,0,30,95.681924835811,20230519
노원구,중계로,2,104,0,30,115.381995860858,20230519
양천구,신정중앙로,2,104,0,30,264.814601132195,20230519
은평구,통일로73길,1,104,0,30,227.122003821406,20230519
양천구,신월로,3,104,0,50,138.349723428567,20230519
노원구,덕릉로94가길,1,104,0,30,556.041643226857,20230519
서초구,효령로,2,107,0,50,31.621110562037,20230519
영등포구,노들로,1,103,0,30,220.965005747432,20230519
영등포구,양평로,2,104,0,50,149.309091268054,20230519
광진구,아차산로69길,1,104,0,30,115.105857147395,20230519
성북구,정릉로.인접길,1,104,0,10,86.182682075129,20230519
동작구,만양로8길,1,104,0,30,104.510640082002,20230519
용산구,서빙고로,2,104,0,50,934.645659158025,20230519
서대문구,독립문로,1,104,0,30,568.551576503641,20230519
노원구,화랑로,3,104,0,50,36.869011905821,20230519
강서구,강서로,3,104,0,50,125.228828206696,20230519
성동구,마장로,3,104,0,60,79.709585515362,20230519
용산구,한강대로,4,104,0,50,95.312216219601,20230519
용산구,한남대로,4,104,0,50,70.633528240858,20230519
은평구,동축로,1,104,0,50,203.069864842515,20230519
동작구,알마타길,1,104,0,30,48.218381417054,20230519
강서구,수명로,1,104,0,40,44.947697648853,20230519
영등포구,버드나루로,2,104,0,50,181.459978591996,20230519
강서구,공항대로,4,103,0,50,246.105166224185,20230519
강서구,강서로47길,2,104,0,30,87.937004480881,20230519
송파구,올림픽대로,1,102,0,40,365.977071312094,20230519
강서구,방화대로,4,104,0,50,345.827018975545,20230519
영등포구,국제금융로8길,2,104,0,50,144.624547147991,20230519
강서구,양천로77길,1,104,0,30,170.438390053883,20230519
강서구,양천로,3,104,0,50,301.467907196751,20230519
영등포구,영신로,2,104,0,50,334.534772029561,20230519
강서구,마곡중앙로,3,104,0,50,290.4035020859,20230519
강서구,마곡중앙8로7길,1,104,0,30,283.186650323098,20230519
강서구,마곡중앙8로1길,1,104,0,30,109.674044534573,20230519
서초구,효령로68길,1,104,0,30,238.451749904397,20230519
서초구,양재대로12길,2,104,0,50,449.818863501564,20230519
도봉구,노해로65길,1,104,0,10,250.402576861455,20230519
중랑구,신내로7가길,1,104,0,30,436.651022645362,20230519
중랑구,신내역로3길,1,104,0,30,211.383774915855,20230519
동대문구,사가정로23가길,1,104,0,10,497.269823720366,20230519
은평구,증산로,3,103,0,50,325.652250381207,20230519
노원구,한글비석로,3,104,0,50,273.524133083587,20230519
금천구,디지털로,3,104,0,50,120.002072734053,20230519
은평구,연서로44길,1,104,0,20,515.774105026201,20230519
동작구,사당로23나길,2,104,0,30,110.525152853612,20230519
성북구,정릉로,3,104,0,50,360.972609520867,20230818
성동구,왕십리로,3,104,0,30,367.577403435645,20230519
양천구,안양천로,2,107,0,50,85.650341722593,20230519
강서구,화곡로,3,104,0,50,163.910721406761,20230519
강서구,마곡동로2길,1,104,0,30,149.055094628434,20230519
관악구,성현로,2,104,0,50,207.375759543708,20230519
송파구,위례서로,3,107,0,50,12.859402546457,20230717
성북구,화랑로,3,104,0,50,254.55050379577,20230519
영등포구,성산로,2,103,0,30,102.122259540896,20230519
동작구,양녕로,3,104,0,50,108.582299941628,20230519
강동구,아리수로,3,104,0,50,204.256708423439,20230519
구로구,새말로,1,104,0,30,197.601264723115,20230519
관악구,남부순환로,4,104,0,50,1136.34025483534,20230519
송파구,성내천로,2,104,0,40,773.364681781772,20230519
송파구,위례광장로,2,104,0,30,334.043398274997,20230519
중랑구,봉화산로,1,104,0,30,104.366166591914,20230519
금천구,서부샛길,1,104,0,40,212.345010282121,20230519
송파구,올림픽대로,1,102,0,40,212.984358434946,20230519
마포구,토정로37길,1,104,0,30,138.684748863807,20230519
동작구,올림픽대로,1,102,0,40,139.832165797092,20230519
강남구,도산대로,5,104,0,50,196.452449861482,20230519
광진구,능동로,3,104,0,50,989.003101527469,20230519
광진구,동부간선도로,3,102,0,80,701.100291517518,20230519
도봉구,노해로,2,104,0,30,227.321758118514,20230519
도봉구,해등로,2,104,0,30,117.595534042972,20230519
강동구,수도권제1순환고속도로,1,101,0,50,348.925140866443,20230717
동대문구,천호대로,4,104,0,60,80.339332353012,20230519
종로구,청계천로,1,104,0,30,57.548725009233,20230519
